Mech',Matches Played,Wins,Losses,Ratio,Kills,Deaths,Ratio.1,Damage Done,XP Earned,Time Played
JENNER IIC JR7-IIC(C),4,2,2,1.0,4,4,1.0,"1,137",0,00:20:39
CRUSADER CRD-6T(P),4,0,4,0.0,5,4,1.25,"1,424","3,017",00:18:59
URBANMECH UM-R68,3,1,2,0.5,0,3,0.0,688,"12,952",00:17:34
CRUSADER CRD-5K,2,1,1,1.0,1,1,1.0,844,"3,819",00:15:49
MIST LYNX MLX-PRIME(C),2,1,1,1.0,3,1,3.0,719,0,00:13:20
EBON JAGUAR EBJ-PRIME(C),2,1,1,1.0,1,1,1.0,361,0,00:13:08
ARCTIC CHEETAH ACH-PRIME(C),2,1,1,1.0,2,1,2.0,467,0,00:12:41
SHADOW CAT SHC-P,2,1,1,1.0,0,2,0.0,654,"2,436",00:10:51
MARAUDER MAD-3R,2,2,0,2.0,0,2,0.0,182,"2,896",00:10:13
LINEBACKER LBK-H(C),2,0,2,0.0,1,2,0.5,614,0,00:09:58
ARCTIC WOLF ACW-1,2,1,1,1.0,1,1,1.0,516,"6,548",00:09:01
STORMCROW SCR-PRIME(C),1,1,0,1.0,1,0,1.0,664,0,00:08:05
KIT FOX KFX-P,1,1,0,1.0,0,0,0.0,128,"1,930",00:06:56
CRAB CRB-27B(C),1,0,1,0.0,1,1,1.0,466,0,00:06:22
DIRE WOLF DWF-A,1,1,0,1.0,1,1,1.0,306,"2,970",00:06:22
JAVELIN JVN-10P,1,0,1,0.0,0,1,0.0,145,90,00:04:39
FIRESTARTER FS9-S(C),1,0,1,0.0,0,1,0.0,133,306,00:03:43
CRUSADER CRD-3R,1,0,1,0.0,0,1,0.0,213,293,00:03:03
REDLINE,1,1,0,1.0,0,0,0.0,0,"2,142",00:02:47
CRUSADER CRD-6T,2,0,2,0.0,0,1,0.0,177,"1,150",00:02:43
INCUBUS INC-5(C),1,0,1,0.0,0,1,0.0,220,"3,059",00:02:30
